"year","domestic_aviation","international_aviation","total"
1990,948.328253080789,1332.89911620077,2281.22736928156
1991,821.944524947274,1293.07957227029,2115.02409721756
1992,814.119388056966,1269.07084646798,2083.19023452494
1993,942.042895282057,1295.13501478421,2237.17791006627
1994,1087.60785410394,1292.2955522991,2379.90340640304
1995,1120.25171566326,1615.48570920176,2735.73742486503
1996,1100.04625647864,1641.15246902785,2741.19872550649
1997,1048.44413016597,1642.72236760529,2691.16649777126
1998,1103.60447652341,1785.20741918979,2888.8118957132
1999,1086.14117639377,1852.11309031395,2938.25426670773
2000,1182.73136955441,1815.28334144837,2998.01471100278
2001,1211.04150448685,1959.66061774713,3170.70212223397
2002,1121.74421069253,1950.36788229045,3072.11209298298
2003,1251.43559829695,2019.29777034844,3270.73336864539
2004,1288.19040718842,2246.93680179777,3535.1272089862
2005,1196.29176370628,2386.67875257711,3582.97051628339
2006,1220.03302601748,2278.62953064951,3498.66255666699
2007,1004.31108245284,2323.38073277283,3327.69181522566
2008,1088.48693357953,2401.61872228749,3490.10565586702
2009,1037.38873366762,2250.3777952538,3287.76652892143
2010,964.740680040881,2345.03687693415,3309.77755697503
2011,989.199095865254,2467.84969431248,3457.04879017773
2012,820.513710897484,2543.41184672325,3363.92555762073
2013,863.59327153721,2527.2976852731,3390.89095681031
2014,818.112237974979,2625.94121131941,3444.05344929439
2015,856.391196947726,2784.04177943148,3640.43297637921
2016,926.324707252308,3301.52911875141,4227.85382600371
2017,996.752235201315,3712.69633954506,4709.44857474637
2018,1078.98230255472,3907.95192878744,4986.93423134216
2019,1025.0613531317,3893.63136961635,4918.69272274805
2020,709.757948158443,1585.10425444519,2294.86220260363
2021,824.570088332729,924.225109973829,1748.79519830656
